5.23541,0.014078,0.0572348,4.91287,0.0401932,0.136618,3.82509,45.23331051667531,1
4.7895,0.0478513,0.156178,4.4814,0.0888889,0.242995,3.75712,44.311900317668915,2
4.36945,0.0919363,0.25614,4.05098,0.137778,0.342029,3.68611,41.180227581659956,3
4.01403,0.136799,0.342781,3.77775,0.176425,0.396425,3.61733,40.98527530034383,4
3.73372,0.177901,0.410451,3.46216,0.224541,0.475845,3.55067,40.97758816878001,5
3.49753,0.214765,0.465395,3.2554,0.258164,0.517005,3.48598,41.245736535390215,6
3.29789,0.248254,0.510628,3.12034,0.281836,0.542705,3.42319,40.847758281230924,7
3.12228,0.278695,0.549069,3.05,0.298937,0.572754,3.36215,40.625515564282736,8
2.959,0.308568,0.583663,2.82041,0.339034,0.613913,3.30289,41.0359979669253,9
2.80671,0.338763,0.614915,2.59414,0.383478,0.656715,3.24517,40.97642950216929,10
2.6744,0.362933,0.641236,2.64276,0.372174,0.642802,3.1889,41.11702258189519,11
2.55391,0.387322,0.665937,2.48447,0.405797,0.677681,3.13394,41.51940648555755,12
2.44324,0.410537,0.685208,2.38924,0.423382,0.698744,3.08034,42.64903585116068,13
2.3424,0.432749,0.704405,2.29725,0.443865,0.715266,3.02792,41.876630850632985,14
2.25011,0.453254,0.720768,2.18192,0.468986,0.731884,2.97678,40.95528388420741,15
2.1667,0.468587,0.736724,2.15578,0.478937,0.74058,2.92677,42.12896496852239,16
2.09626,0.483052,0.748152,2.07564,0.491401,0.752367,2.87809,42.49199930032094,17
2.01264,0.50162,0.762026,2.0658,0.497778,0.753816,2.83045,40.660313034057616,18
1.94431,0.516224,0.773974,1.96758,0.510628,0.774493,2.78391,40.76066319942474,19
1.87989,0.529857,0.784388,1.96005,0.516039,0.769662,2.73832,40.86952761809031,20
1.82162,0.54489,0.794656,1.92107,0.530048,0.775072,2.69389,41.153081834316254,21
1.74941,0.55981,0.805859,1.87411,0.546087,0.785024,2.65044,40.805832568804426,22
1.69871,0.570793,0.813767,1.81499,0.552367,0.795556,2.60796,41.24946191708247,23
1.65166,0.581877,0.822158,1.75703,0.562802,0.803382,2.56652,41.42076851526896,24
